system:index,NDBI,NDVI,NDWI,SR_B2,SR_B3,SR_B4,SR_B5,ST_B10,date,precipitation,.geo
00000000000000000a75,-0.0842760824937524,9.129159657971289E-4,0.07155150176332778,38739.02955202311,37359.51958092485,38261.09703757225,38327.136271676296,33842.84385838149,1364774400000,0.04301324859261513,"{""type"":""Point"",""coordinates"":[4.515780686936228,50.475110970655415]}"
00000000000000000a5f,-0.175859155234799,0.28546339794121667,-0.09696096222227264,7082.62899032211,11340.963599595547,10926.196157735081,19662.66250180556,36251.642134912596,1364860800000,0.12473124397613743,"{""type"":""Point"",""coordinates"":[3.5998278213458033,50.48342719412008]}"
00000000000000000a8b,-0.10879794923917087,0.15463677951226218,-0.0654437761344037,10323.055140723722,12818.957352096497,13313.624138426192,18190.74597932223,36939.61537909247,1364860800000,0.13950775563716888,"{""type"":""Point"",""coordinates"":[4.028494582916717,50.750241964754075]}"
00000000000000000aa5,-0.18095587670189145,-0.005085686814229441,0.179125532441657,47119.043440549336,46091.3885796892,46743.16292013011,46287.57556920854,33993.12504517528,1364860800000,0.15798388421535492,"{""type"":""Point"",""coordinates"":[4.86792927443001,50.46999192264606]}"
00000000000000000b9f,-0.13732489005465429,0.19021716835495042,-0.06377284779915642,10164.156371211036,12685.154072690711,12931.59136618302,19017.707297802048,36719.04510846144,1364860800000,0.13950775563716888,"{""type"":""Point"",""coordinates"":[4.027700862929203,50.74974700453715]}"
0000000000000000089d,-0.06748361283018306,0.24334240665114187,-0.16958327505267748,8823.385101301901,9958.227101147828,9768.501271088515,16076.98721207919,43172.199753485846,1365033600000,0.2511136531829834,"{""type"":""Point"",""coordinates"":[11.378408553806292,47.26797834268238]}"
00000000000000000a72,-0.07371305061305158,0.23327856141874098,-0.16951961979186655,9728.41016633209,11153.308933180384,11318.6186550043,18242.494192715803,41515.813378262115,1365033600000,0.14412327110767365,"{""type"":""Point"",""coordinates"":[4.243458926501234,50.83806841910275]}"
00000000000000000a66,-0.14240660993305584,0.21855258918466575,-0.09876647006966965,11319.674055129302,13135.230036942316,13679.199417448144,21327.771312872985,36269.720730321125,1365292800000,0.14274469017982483,"{""type"":""Point"",""coordinates"":[4.254334673970591,51.24264265768189]}"
00000000000000000a67,-0.17717977275040728,0.23843063024534403,-0.05018714009361316,9053.959697553319,10877.842356801482,10579.019901562166,17235.37598972822,37251.24637991297,1365292800000,0.1466619074344635,"{""type"":""Point"",""coordinates"":[4.606104237874829,51.058477325073525]}"
00000000000000000ae1,0.003643068547510412,0.18754182057613966,-0.2052909821144866,9416.917049666421,10489.443661971833,10816.600963676801,15881.670274277245,41281.10934025203,1365292800000,0.13098479807376862,"{""type"":""Point"",""coordinates"":[2.5194188498032424,49.24372129654423]}"
00000000000000000ae2,-0.4128084881550814,0.008336363435025775,0.4121953991919579,34393.25702662722,32970.52470414201,32473.316272189353,33019.283284023666,25479.485355029596,1365292800000,0.13276025652885437,"{""type"":""Point"",""coordinates"":[2.793671400994377,49.33438819826395]}"
00000000000000000ae3,-0.2512636511945866,0.17307428271073438,0.07100335274093834,14574.889627168704,16067.966482096717,16419.243115540787,23293.470653377623,34345.059505352525,1365292800000,0.1390136033296585,"{""type"":""Point"",""coordinates"":[3.3444684813181196,49.42396262022557]}"
00000000000000000ba0,-0.1533469442409465,0.20819220817921003,-0.048290316490513616,9120.260881975164,10853.197588126157,10670.486941629797,16327.832952761522,37440.00078492935,1365292800000,0.1466619074344635,"{""type"":""Point"",""coordinates"":[4.605301599685208,51.0580002012608]}"
00000000000000000b12,-0.002483795958087122,0.05442457865134546,-0.039527175591733674,10976.699678933073,13805.58738783239,13466.937350786204,15025.527866963037,41289.12282868199,1365552000000,0.11138280481100082,"{""type"":""Point"",""coordinates"":[3.87384849928216,43.50115718688503]}"
00000000000000000aa4,-0.060385713005932075,0.15913069979949127,-0.060346962648785585,6789.293410190719,8094.2730572160535,7487.713492741249,10290.301736407628,37529.25128095645,1365638400000,0.1360771209001541,"{""type"":""Point"",""coordinates"":[5.254332676216363,51.1826722076141]}"
00000000000000000000,-0.039986756560645174,0.028507401066460172,-9.935619559333342E-4,30910.818006239773,30465.104442133405,31235.150497697214,33061.455950081705,33139.90647749219,1365811200000,0.20178131759166718,"{""type"":""Point"",""coordinates"":[10.110084145669411,49.11617762911251]}"
